"","InterZone","InterZone_Name","CPP","Typology_Group","Typology_Name","Indicator","Type","Year","value","IndicatorFullName","High is Positive","CPPScore","TypeScore","CombinedCPPScore","CombinedTypeScore","FilterRef","CPPScoreRank","TypeScoreRank"
"20","S02001757","Dunfermline Pitcorthie East","Fife",37,"Other Urban, Dep - Adult, HH Inc 70-100%","Child Poverty","Raw data","2023/24",6.70694127762744,"Child Poverty (%)","No",1.38798812415192,0.429763640115795,9.59164451305734,3.2147650004568,"Child Poverty",101,79
"21","S02001758","Dunfermline Pitcorthie West","Fife",25,"Other Urban, Dep - OP, HH Inc 50-70%","Child Poverty","Raw data","2023/24",13.3476665704351,"Child Poverty (%)","No",0.552976766512202,-0.536179613640993,5.79100569099305,1.08628136454182,"Child Poverty",87,63
"22","S02001759","Rosyth North","Fife",40,"Other Urban, Dep - Average, HH Inc 30-40%","Child Poverty","Raw data","2023/24",14.0488747800173,"Child Poverty (%)","No",0.464806153626663,1.32988717273204,1.14115273796465,4.38455443701982,"Child Poverty",57,88
"23","S02001760","Rosyth East","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",19.6154666818217,"Child Poverty (%)","No",-0.235142610461839,1.24611962478099,-2.04456731627937,3.77769103484067,"Child Poverty",37,82
"24","S02001761","Rosyth Central","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",20.8810637842617,"Child Poverty (%)","No",-0.39428004020583,1.0058325477823,-1.16662604175963,4.88094439738597,"Child Poverty",39,90
"25","S02001762","Rosyth South","Fife",34,"Other Urban, Dep -Student, HH Inc 70-100%","Child Poverty","Raw data","2023/24",15.6678578340254,"Child Poverty (%)","No",0.261233625278416,-0.887031361365823,2.14476404349893,-5.70767384908236,"Child Poverty",62,16
"26","S02001763","North Queensferry and Inverkeithing West","Fife",36,"Other Urban, Dep - Adult, HH Inc 40-70%","Child Poverty","Raw data","2023/24",14.2549441204062,"Child Poverty (%)","No",0.438894791222857,0.142546354235041,2.25744514593785,0.295795042966285,"Child Poverty",64,56
"27","S02001764","Inverkeithing East","Fife",41,"Other Urban, Dep - Average, HH Inc 40-50%","Child Poverty","Raw data","2023/24",19.3996448095889,"Child Poverty (%)","No",-0.208004955070998,-0.635542524443888,-2.73610091333902,-4.85266318479933,"Child Poverty",33,22
"28","S02001765","Dalgety Bay West and Hillend","Fife",49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%","Child Poverty","Raw data","2023/24",2.34700276279475,"Child Poverty (%)","No",1.93621109950059,1.58629882550543,9.22331056328362,5.35435550979598,"Child Poverty",99,94
"29","S02001766","Dalgety Bay Central","Fife",46,"Accessible Small Town, Dep - OP, HH Inc 50-100%","Child Poverty","Raw data","2023/24",7.17833568215827,"Child Poverty (%)","No",1.32871452611025,0.311111287952471,9.67154943270663,7.12551957721302,"Child Poverty",102,100
