InterZone,InterZone_Name,CPP,Typology_Group,Typology_Name,Indicator,Type,Year,value,IndicatorFullName,High is Positive,Change,OverallZScore,CPPChangeScore,Strategic Area
S02001824,Auchtermuchty and Gateside,Fife,59,"Accessible Rural, Dep - not OP or Child, HH Inc 0-60%",Child Poverty,Raw data,2021/22,18.076285240464347,Child Poverty (%),No,-0.7808850338603888,0.005943429979833967,0.05262682233498654,North East Fife
S02001825,Newburgh,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Child Poverty,Raw data,2021/22,15.883668903803134,Child Poverty (%),No,-0.6441617375754647,0.22472197308986,0.21761771293222198,North East Fife
S02001826,Cupar West and Springfield,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Child Poverty,Raw data,2021/22,15.666178623718888,Child Poverty (%),No,-1.5440563609077604,-1.2152494143385326,-0.8683304713321951,North East Fife
S02001827,Cupar Central,Fife,50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%",Child Poverty,Raw data,2021/22,26.825127334465193,Child Poverty (%),No,-0.2550989616259758,0.8472829382906188,0.6871193680734682,North East Fife
S02001828,Cupar East,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Child Poverty,Raw data,2021/22,10.20408163265306,Child Poverty (%),No,-0.6095589545553566,0.28009180882667106,0.25937463470605765,North East Fife
S02001829,Dairsie Ceres and Dunino,Fife,56,"Accessible Rural, Dep -OP, HH Inc 70-100%",Child Poverty,Raw data,2021/22,11.529411764705882,Child Poverty (%),No,0.06213679538824546,1.35490949958521,1.0699437403734797,North East Fife
S02001830,Elie Colinsburgh and Largoward,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Child Poverty,Raw data,2021/22,17.153284671532848,Child Poverty (%),No,0.1523547053708295,1.4992721901049646,1.1788142380890112,North East Fife
S02001831,St Monans and Pittenweem,Fife,54,"Accessible Rural, Dep -OP, HH Inc 0-40%",Child Poverty,Raw data,2021/22,26.5625,Child Poverty (%),No,-0.6149377177267019,0.2714849510172419,0.2528838101716456,North East Fife
S02001832,Anstruther,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Child Poverty,Raw data,2021/22,23.09941520467836,Child Poverty (%),No,-0.9092688815789474,-0.19949069811632136,-0.1023004354839175,North East Fife
S02001833,Crail and Boarhills,Fife,54,"Accessible Rural, Dep -OP, HH Inc 0-40%",Child Poverty,Raw data,2021/22,16.666666666666664,Child Poverty (%),No,-0.21596544824037922,0.9099026474251591,0.7343437504657201,North East Fife
S02001834,St Andrews South East,Fife,32,"Other Urban, Dep -Student, HH Inc 0-30%",Child Poverty,Raw data,2021/22,22.897196261682243,Child Poverty (%),No,-2.656774189544393,-2.9957710376203512,-2.2111031407944037,North East Fife
S02001835,St Andrews Central,Fife,33,"Other Urban, Dep -Student, HH Inc 30-70%",Child Poverty,Raw data,2021/22,12.22707423580786,Child Poverty (%),No,-0.5059849816416433,0.44582627774232503,0.3843625665221209,North East Fife
S02001836,St Andrews South West,Fife,25,"Other Urban, Dep - OP, HH Inc 50-70%",Child Poverty,Raw data,2021/22,3.571428571428571,Child Poverty (%),No,0.36473341467386733,1.8391111632092851,1.4351023275655619,North East Fife
S02001837,St Andrews North and Strathkinness,Fife,33,"Other Urban, Dep -Student, HH Inc 30-70%",Child Poverty,Raw data,2021/22,3.3333333333333335,Child Poverty (%),No,-2.09548925,-2.0976278193116094,-1.5337723232191969,North East Fife
S02001838,Leuchars and Guardbridge,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Child Poverty,Raw data,2021/22,15.318230852211434,Child Poverty (%),No,-2.280561893203883,-2.393772838850111,-1.7571088068844174,North East Fife
S02001839,Balmullo and Gauldry,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Child Poverty,Raw data,2021/22,10.861423220973784,Child Poverty (%),No,-1.2579023714347457,-0.7573585162756029,-0.5230140340169648,North East Fife
S02001840,Tayport,Fife,48,"Accessible Small Town, Dep - Student & Adult, HH Inc 0-60%",Child Poverty,Raw data,2021/22,21.47887323943662,Child Poverty (%),No,-0.7857615946881651,-0.0018598259558991123,0.04674203067263744,North East Fife
S02001841,Newport and Wormit,Fife,46,"Accessible Small Town, Dep - OP, HH Inc 50-100%",Child Poverty,Raw data,2021/22,6.329113924050633,Child Poverty (%),No,0.19563578265055226,1.5685286466766184,1.231043694812376,North East Fife
S02001738,Kincardine,Fife,55,"Accessible Rural, Dep -OP, HH Inc 40-70%",Attainment,Imputed,2021/22,5.476870818340681,Average Highest Attainment,Yes,-0.020857675411214416,-0.7425130908140128,-0.5275828099572402,South West Fife
S02001739,Oakley Comrie and Blairhall,Fife,47,"Accessible Small Town, Dep - Child, HH Inc 0-100%",Attainment,Imputed,2021/22,5.213771960231954,Average Highest Attainment,Yes,0.06972743123239122,0.48950929035879726,1.127214940366205,South West Fife
S02001740,Saline and Gowkhall,Fife,60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%",Attainment,Imputed,2021/22,5.764283779938457,Average Highest Attainment,Yes,0.053223187067253264,0.2650397395772277,0.8257174080763643,South West Fife
S02001741,Valleyfield Culross and Torryburn,Fife,49,"Accessible Small Town, Dep - Student & Adult, HH Inc 60-100%",Attainment,Imputed,2021/22,5.231091098874395,Average Highest Attainment,Yes,0.0050626956769999065,-0.38997746445960135,-0.05407261215968946,South West Fife
S02001742,Cairneyhill and Crombie,Fife,61,"Accessible Rural, Dep - not OP or Child, HH Inc 80-100%",Attainment,Imputed,2021/22,5.666373874900597,Average Highest Attainment,Yes,-0.06318052294904908,-1.3181341540725124,-1.300731459750597,South West Fife
S02001743,Crossford Charlestown and Limekilns,Fife,56,"Accessible Rural, Dep -OP, HH Inc 70-100%",Attainment,Imputed,2021/22,5.921880964105505,Average Highest Attainment,Yes,-0.022364359371691345,-0.7630050726578372,-0.5551067299549833,South West Fife
S02001744,Dunfermline Milesmark and Wellwood,Fife,37,"Other Urban, Dep - Adult, HH Inc 70-100%",Attainment,Imputed,2021/22,6.0227334597734385,Average Highest Attainment,Yes,0.12779904553877697,1.279324870283963,1.2739472342215743,Dunfermline
S02001745,Dunfermline Baldridgeburn,Fife,35,"Other Urban, Dep - Adult, HH Inc 0-40%",Attainment,Imputed,2021/22,5.705972293425049,Average Highest Attainment,Yes,0.021427822073039948,-0.16740001505648253,-0.188140961042332,Dunfermline
