year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Participation,Emergency Admissions,Depopulation,Early Mortality
2015,Dundee City,0.279632925,0.298353472,,0.3166092,0.300693678,0.227387054,-0.049454,0.252015637
2015,East Ayrshire,0.243560926,0.276018554,,0.258830189,0.255333789,0.220750116,-0.104845983,0.182583357
2015,East Dunbartonshire,0.312464245,0.337294634,,0.309290945,0.31304944,0.270157817,0.061532831,0.253928489
2015,East Lothian,0.214161216,0.228766059,,0.228672192,0.230016121,0.203218159,-0.01209412,0.166822749
2015,East Renfrewshire,0.390718257,0.404859843,,0.409012713,0.365617632,0.34030975,0.049556157,0.356852983
2015,"Edinburgh, City of",0.386292381,0.437182654,,0.44750741,0.383629737,0.374907356,0.051773962,0.403173563
2015,Eilean Siar,0.042268168,0.088860065,,0.03229536,-0.064445503,0.008704124,-0.03567417,-0.023262108
2015,Falkirk,0.242428698,0.278747724,,0.249144525,0.256520977,0.205073602,-0.096125073,0.211217391
2015,Fife,0.335289802,0.362051527,,0.326901535,0.326632077,0.267561973,-0.113268845,0.26382578
2015,Glasgow City,0.226382119,0.202806212,,0.281327108,0.222420156,0.19831447,-0.097294623,0.198366876
2015,Highland,0.210850587,0.241357305,,0.255834186,0.187747963,0.218743317,-0.099430568,0.168982146
2015,Inverclyde,0.319769218,0.342956404,,0.352932439,0.303157567,0.264268777,-0.211690304,0.288631423
2015,Midlothian,0.228481239,0.26400534,,0.258717175,0.239308186,0.196557677,-0.117323236,0.185387003
2015,Moray,0.138805076,0.158450189,,0.116672852,0.112627779,0.087644337,-0.029884437,0.067786779
2015,North Ayrshire,0.285169519,0.308525759,,0.278925751,0.280187723,0.177077059,-0.093504607,0.271876863
2015,North Lanarkshire,0.186408326,0.221495708,,0.205160962,0.201693785,0.159519428,-0.041735358,0.145385806
2015,Orkney Islands,0.113511831,0.095671968,,0.003996284,0.099942157,0.048191209,-0.160893235,0.050559037
2015,Perth and Kinross,0.241501301,0.267165206,,0.271130608,0.233054985,0.230325147,-0.019426084,0.213951264
2015,Renfrewshire,0.289745433,0.347568268,,0.32209717,0.339967946,0.300564661,-0.012492943,0.252791136
2015,Scottish Borders,0.225918246,0.228573931,,0.236238904,0.217182163,0.139388673,-0.16275787,0.160336834
2015,Shetland Islands,0.089035725,0.082846147,,0.005012586,-0.042589865,0.043197723,-0.076699791,0.095802041
2015,South Ayrshire,0.261681419,0.32453624,,0.29162601,0.299419839,0.188395276,-0.007882716,0.239574798
2015,South Lanarkshire,0.223621286,0.25638635,,0.257773035,0.243230827,0.152228486,-0.078915192,0.175223028
2015,Stirling,0.291006916,0.348679254,,0.351857645,0.32520884,0.274245699,-0.093767394,0.306672391
2015,West Dunbartonshire,0.167967346,0.221415789,,0.200294593,0.196794764,0.111014996,-0.030544441,0.175786508
2015,West Lothian,0.235589283,0.254895329,,0.241748224,0.248281851,0.208525149,-0.026954148,0.180205533
2016,Aberdeen City,0.311740144,0.360811367,,0.333278171,0.300570649,0.31828413,0.001812344,0.292810223
2016,Aberdeenshire,0.271722083,0.323812751,,0.300045342,0.265505645,0.231361412,-0.182250681,0.279302045
2016,Angus,0.241551156,0.271293314,,0.248176794,0.242814841,0.166886129,-0.023285274,0.267165691
2016,Argyll and Bute,0.197093898,0.142096994,,0.146714267,0.052768502,0.154178398,-0.060478207,0.196701636
2016,Clackmannanshire,0.233877437,0.243017801,,0.223709359,0.246389662,0.082933247,-0.091233224,0.203247967
2016,Dumfries and Galloway,0.176704953,0.229415995,,0.197413765,0.166708079,0.110145797,-0.055397385,0.160537505
2016,Dundee City,0.292413521,0.296757696,,0.321740499,0.290719308,0.271655716,-0.05432642,0.252279489
2016,East Ayrshire,0.235755919,0.27126518,,0.264532975,0.264699248,0.226434094,-0.107503808,0.219312333
